Símbolo,Número Atômico,Nome,Dica,Grupo
H,1,Hidrogênio,Elemento Químico de menor raio atômico.,3
He,2,Hélio,Gás Nobre de menor raio atômico.,3
Li,3,Lítio,Metal alcalino do 2º período.,3
Be,4,Berílio,Metal Alcalino Terroso de menor raio atômico.,3
B,5,Boro,Elemento do grupo 13 do segundo período.,3
C,6,Carbono,Elemento com 4 elétrons na camada de valência do segundo período.,3
N,7,Nitrogênio,Elemento em maior quantidade no ar.,3
O,8,Oxigênio,Elemento químico fundamental para a nossa respiração.,3
F,9,Flúor,Halôgenio do segundo período.,3
Ne,10,Neônio,Gás nobre com duas camadas de elétrons.,3
Na,11,Sódio,Metal Alcalino com três camadas de elétrons,3
Mg,12,Magnésio,Elemento do grupo 2 e do 3º período.,3
Al,13,Alumínio,Elemento do grupo 13e do 3º período. ,3
Si,14,Silício,Elemento do 4 elétrons na camada de valência do terceiro período.,3
P,15,Fósforo,Elemento Químico: Fósforo,2
S,16,Enxofre,Elemento Químico: Enxonfre,2
Cl,17,Cloro,Halogênio do 3º período. ,3
Ar,18,Argônio,Elemento químico com oito elétrons na camada de valência do terceiro período.,3
K,19,Potássio,Elemento possui quatro camadas de elétrons sendo a última apenas com 1 elétron. ,3
Ca,20,Cálcio,Elemento química presente nos ossos e no leite. ,3
Sc,21,Escândio,Elemento Químico: Escândio,2
Ti,22,Titânio,Elemento do grupo 4 e do 4 período,3
V,23,Vanádio,Elemento do grupo 5 e do 4 período,3
Cr,24,Cromo,Elemento do grupo 6 e do 4 período,3
Mn,25,Manganês,Elemento do grupo 7 e do 4 período,3
Fe,26,Ferro,A empressa gerdau transforma minério de _______ em aço.,3
Co,27,Cobalto,Elemento Químico de Número Atômico 27. ,3
Ni,28,Níquel,Elemento Químico de Número Atômico 28.,3
Cu,29,Cobre,Elemento químico que constitui os fios elétricos,3
Zn,30,Zinco,Metal de transição de menor raio atômico do quarto período. ,3
Ga,31,Gálio,Elemento do grupo 13 e do 4 período. ,3
Ge,32,Germânio,Elemento do grupo 14 e do 4 período. ,3
As,33,Arsênio,Elemento com 5 elétrons na camanda de valência do quarto período. ,3
